captured_at,story_id,rank,title,score,comments
2026-06-06T23:44:57.871036+00:00,48398375,44,What Columbus used instead of the North Star,16,2
2026-06-06T23:44:57.871036+00:00,48426405,45,"First Commodore PET sold, June 5, 1977",13,1
2026-06-06T23:44:57.871036+00:00,48428959,46,Discovery of Cold War-era rare Eastern Bloc computers in a German hangar,14,3
2026-06-06T23:44:57.871036+00:00,48415217,47,Gov.uk has replaced Stripe with Dutch provider Adyen,550,214
2026-06-06T23:44:57.871036+00:00,48398925,48,My Agent Skill for Test-Driven Development,219,104
2026-06-06T23:44:57.871036+00:00,48362115,49,Show HN: Soft Body Jiggle Physics,49,19
2026-06-06T23:44:57.871036+00:00,48421079,50,The back cover of C++: The Language raises questions not answered by front cover,142,48
2026-06-07T10:15:47.357497+00:00,48432199,1,The 29th International Obfuscated C Code Contest (IOCCC) 2025 Winners,164,43
2026-06-07T10:15:47.357497+00:00,48400151,2,Speculative KV coding: losslessly compressing KV cache by up to ~4×,38,5
2026-06-07T10:15:47.357497+00:00,48431461,3,Valve P2P networking broken for more than 2 months,167,75
2026-06-07T10:15:47.357497+00:00,48410844,4,Win16 Memory Management,23,2
2026-06-07T10:15:47.357497+00:00,48431981,5,I design with Claude more than Figma now,161,123
2026-06-07T10:15:47.357497+00:00,48431286,6,Field of clones: How horse replicas came to dominate polo,85,41
2026-06-07T10:15:47.357497+00:00,48430923,7,Tokenomics: Quantifying Where Tokens Are Used in Agentic Software Engineering,107,35
2026-06-07T10:15:47.357497+00:00,48389368,8,My Software North Star,75,34
2026-06-07T10:15:47.357497+00:00,48415457,9,Symbolica 2.0: Programmable Symbols for Python and Rust,89,7
2026-06-07T10:15:47.357497+00:00,48428025,10,Ntsc-rs – open-source video emulation of analog TV and VHS artifacts,348,93
2026-06-07T10:15:47.357497+00:00,48430539,11,Public Domain Image Archive,125,18
2026-06-07T10:15:47.357497+00:00,48416264,12,Harness engineering: Leveraging Codex in an agent-first world,198,126
2026-06-07T10:15:47.357497+00:00,48431085,13,How Liminalism Became the Defining Aesthetic of Our Time,69,38
